 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Carlos Baleba,cm CMR,MF,19-130,16,3,312,3.5,0,0,0,0,0,0,2,1,0.3,0.3,0.1,0.4,14,25,6,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches,a1390d2f
Yusuf Yaz?c?,tr TUR,MF,26-104,4,3,200,2.2,1,1,2,1,0,0,0,0,0.2,0.2,0.6,0.7,5,17,18,0.45,0.45,0.90,0.45,0.90,0.07,0.26,0.34,0.07,0.34,Matches,f5c8b425
Alan Virginius,fr FRA,FW,20-130,14,1,252,2.8,1,0,1,1,0,0,1,0,3.1,3.1,0.0,3.1,12,10,32,0.36,0.00,0.36,0.36,0.36,1.10,0.01,1.11,1.10,1.11,Matches,01becd60
Jonas Martin,fr FRA,MF,33-034,10,1,196,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,17,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,468fdbad
Simon Ramet,fr FRA,DF,20-061,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ed8cecc9
Benoît Costil,fr FRA,GK,35-314,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2434f24a
Ichem Ferrah,fr FRA,MF,17-232,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,307581ff
Adam Jakubech,sk SVK,GK,26-131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e6951f76
Isaac Lihadji,fr FRA,FW,21-033,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,57a46f3f
Matteo Makhabé,fr FRA,MF,19-166,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,cb14d810
Tom Negrel,fr FRA,GK,20-030,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,885430a6
Arthur Theate,be BEL,DF,22-353,33,33,2947,32.7,3,0,3,3,0,0,5,0,3.7,3.7,0.6,4.4,35,235,3,0.09,0.00,0.09,0.09,0.09,0.11,0.02,0.13,0.11,0.13,Matches,df8d6029
Benjamin Bourigeaud,fr FRA,MFFW,29-119,33,33,2730,30.3,4,8,12,3,1,1,5,1,6.1,5.3,10.0,15.3,32,235,228,0.13,0.26,0.40,0.10,0.36,0.20,0.33,0.53,0.17,0.51,Matches,20e73fac
Steve Mandanda,fr FRA,GK,38-046,31,31,2745,30.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches,1d2d5cc8
Amine Gouiri,fr FRA,FWMF,23-086,29,25,2182,24.2,11,3,14,11,0,0,3,0,9.7,9.7,3.6,13.3,54,63,178,0.45,0.12,0.58,0.45,0.58,0.40,0.15,0.55,0.40,0.55,Matches,aad56ca3
Hamari Traoré,ml MLI,DF,31-106,27,24,2190,24.3,1,2,3,1,0,0,5,0,1.4,1.4,2.2,3.6,50,138,140,0.04,0.08,0.12,0.04,0.12,0.06,0.09,0.15,0.06,0.15,Matches,a4b1028a
Adrien Truffert,fr FRA,DF,21-174,28,24,1954,21.7,0,6,6,0,0,0,1,0,0.6,0.6,1.5,2.2,55,89,166,0.00,0.28,0.28,0.00,0.28,0.03,0.07,0.10,0.03,0.10,Matches,5d0e0a1f
Arnaud Kalimuendo,fr FRA,FW,21-113,27,24,1818,20.2,7,3,10,7,0,0,0,0,7.5,7.5,2.4,9.9,35,31,191,0.35,0.15,0.50,0.35,0.50,0.37,0.12,0.49,0.37,0.49,Matches,bf4c41f9
Flavien Tait,fr FRA,MF,30-100,28,19,1647,18.3,2,2,4,2,0,0,2,0,2.1,2.1,2.1,4.2,51,152,55,0.11,0.11,0.22,0.11,0.22,0.11,0.12,0.23,0.11,0.23,Matches,a0f9b535
Baptiste Santamaria,fr FRA,MF,28-065,21,16,1467,16.3,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,9,119,18,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.08,0.05,0.08,Matches,5e22e2a4
Martin Terrier,fr FRA,FWMF,26-070,16,16,1319,14.7,9,4,13,9,0,0,0,0,5.6,5.6,3.4,9.0,34,60,137,0.61,0.27,0.89,0.61,0.89,0.38,0.23,0.61,0.38,0.61,Matches,5148dcc5
Chimuanya Ugochukwu,fr FRA,MF,19-048,23,14,1320,14.7,0,1,1,0,0,0,3,1,0.9,0.9,0.8,1.8,10,50,11,0.00,0.07,0.07,0.00,0.07,0.06,0.06,0.12,0.06,0.12,Matches,1df4a109
Lovro Majer,hr CRO,MFFW,25-116,28,14,1312,14.6,1,3,4,0,1,1,3,0,2.4,1.7,3.1,4.8,52,108,92,0.07,0.21,0.27,0.00,0.21,0.17,0.21,0.38,0.11,0.33,Matches,fc46aab1
Joe Rodon,wls WAL,DF,25-203,14,14,1237,13.7,1,0,1,1,0,0,2,1,0.9,0.9,0.0,0.9,3,43,0,0.07,0.00,0.07,0.07,0.07,0.07,0.00,0.07,0.07,0.07,Matches,8d62d31a
Christopher Wooh,cm CMR,DF,21-237,13,12,1006,11.2,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.9,6,38,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,b003239d
Désiré Doué,fr FRA,MFFW,17-344,24,11,1099,12.2,3,1,4,3,0,0,5,0,1.6,1.6,1.5,3.1,37,57,81,0.25,0.08,0.33,0.25,0.33,0.13,0.12,0.25,0.13,0.25,Matches,9e7483ff
Warmed Omari,fr FRA,DF,23-020,12,11,1003,11.1,0,0,0,0,0,0,2,1,0.6,0.6,0.4,1.0,1,40,0,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,4534a352
Birger Meling,no NOR,DF,28-147,25,10,1192,13.2,0,1,1,0,0,0,2,1,0.0,0.0,0.9,0.9,37,90,74,0.00,0.08,0.08,0.00,0.08,0.00,0.07,0.07,0.00,0.07,Matches,70c52749
Jeremy Doku,be BEL,MFFW,20-351,25,9,967,10.7,5,0,5,5,0,0,0,0,2.3,2.3,2.8,5.1,78,50,121,0.47,0.00,0.47,0.47,0.47,0.22,0.26,0.48,0.22,0.48,Matches,fffea3e5
Karl Toko Ekambi,cm CMR,MFFW,30-241,13,7,648,7.2,1,1,2,1,0,0,0,0,2.3,2.3,1.0,3.3,25,16,63,0.14,0.14,0.28,0.14,0.28,0.32,0.14,0.46,0.32,0.46,Matches,5ceba7fc
Djed Spence,eng ENG,DF,22-277,8,7,573,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,21,21,18,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,9bc9a519
Xeka,pt POR,MF,28-184,8,6,552,6.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,39,13,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,f3600c02
Do?an Alemdar,tr TUR,GK,20-196,4,3,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9e17ccff
Gaëtan Laborde,fr FRA,FW,29-010,4,3,249,2.8,2,0,2,2,0,0,0,0,1.7,1.7,0.2,1.9,8,5,20,0.72,0.00,0.72,0.72,0.72,0.62,0.07,0.69,0.62,0.69,Matches,7cdda3bf
Kamaldeen Sulemana,gh GHA,FWMF,21-087,14,2,326,3.6,1,0,1,1,0,0,1,0,1.4,1.4,0.6,1.9,17,18,57,0.28,0.00,0.28,0.28,0.28,0.38,0.16,0.54,0.38,0.54,Matches,a62f8bf1
Lorenz Assignon,tg TOG,DF,22-325,8,2,212,2.4,0,1,1,0,0,0,2,0,0.3,0.3,0.3,0.6,7,10,9,0.00,0.42,0.42,0.00,0.42,0.14,0.12,0.27,0.14,0.27,Matches,b026bbf6
Jeanöel Belocian,fr FRA,DF,18-085,4,2,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,c678ddd7
Ibrahim Salah,ma MAR,FWMF,21-256,11,1,186,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,11,12,24,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.26,0.09,0.26,Matches,cad3fd4d
Loïc Bade,fr FRA,DF,23-032,1,1,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,0,3,0,0.00,1.00,1.00,0.00,1.00,0.20,0.06,0.26,0.20,0.26,Matches,114bbdee
Matthis Abline,fr FRA,FWMF,20-046,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches,0e46fa2f
Sehrou Guirassy,gn GUI,MF,27-062,1,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0,0,6,0.00,0.00,0.00,0.00,0.00,0.44,0.57,1.00,0.44,1.00,Matches,923f4dda
Alan Do Marcolino,ga GAB,FW,21-055,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1bd5bdc4
Guela Doué,fr FRA,FWMF,20-208,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches,b4ef3fb5
Romain Salin,fr FRA,GK,38-288,0,0,,0.0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,Matches,74733221
Noah Francoise,fr FRA,MF,19-312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,55168bb4
Jérémy Jacquet,fr FRA,DF,17-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,cef70c94
Léo Rouille,fr FRA,DF,19-093,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,cb5f44ec
Gabriel Tutu,fr FRA,FW,19-104,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,a6f93497
Nicolás Tagliafico,ar ARG,DF,30-255,30,30,2631,29.2,1,3,4,1,0,0,4,0,2.3,1.8,3.9,5.6,31,136,155,0.03,0.10,0.14,0.03,0.14,0.08,0.13,0.21,0.06,0.19,Matches,f0661424
Alexandre Lacazette,fr FRA,FW,31-350,31,30,2569,28.5,24,4,28,18,6,7,3,0,20.3,14.8,4.7,19.5,37,94,193,0.84,0.14,0.98,0.63,0.77,0.71,0.17,0.88,0.52,0.68,Matches,9dbb75ca
Castello Lukeba,fr FRA,DF,20-147,30,29,2626,29.2,2,0,2,2,0,0,7,1,1.0,1.0,0.3,1.3,20,150,8,0.07,0.00,0.07,0.07,0.07,0.04,0.01,0.04,0.04,0.04,Matches,5b9512c5
Anthony Lopes,pt POR,GK,32-224,28,28,2456,27.3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f00de885
Maxence Caqueret,fr FRA,MF,23-087,32,28,2429,27.0,2,7,9,2,0,0,2,0,2.2,2.2,4.6,6.8,37,155,113,0.07,0.26,0.33,0.07,0.33,0.08,0.17,0.25,0.08,0.25,Matches,f81ef10d
Thiago Mendes,br BRA,MFDF,31-059,28,22,1956,21.7,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.4,10,160,18,0.05,0.05,0.09,0.05,0.09,0.03,0.03,0.06,0.03,0.06,Matches,c6e5d20f
Johann Lepenant,fr FRA,MF,20-203,29,21,1890,21.0,1,2,3,1,0,0,3,0,0.8,0.8,0.9,1.7,20,123,43,0.05,0.10,0.14,0.05,0.14,0.04,0.05,0.08,0.04,0.08,Matches,1e52971c
Corentin Tolisso,fr FRA,MF,28-283,26,21,1697,18.9,1,2,3,1,0,0,3,0,1.4,1.4,3.7,5.1,26,194,48,0.05,0.11,0.16,0.05,0.16,0.07,0.19,0.27,0.07,0.27,Matches,652d4c37
Sinaly Diomande,ci CIV,DF,22-034,22,20,1777,19.7,0,0,0,0,0,0,2,1,0.8,0.8,0.1,1.0,8,104,6,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,6de23ab0
Malo Gusto,fr FRA,DF,19-359,19,18,1523,16.9,0,1,1,0,0,0,1,0,0.4,0.4,3.0,3.4,63,78,145,0.00,0.06,0.06,0.00,0.06,0.02,0.17,0.20,0.02,0.20,Matches,d56b9520
Rayan Cherki,fr FRA,MFFW,19-269,30,17,1541,17.1,3,5,8,3,0,0,3,0,3.7,3.7,5.8,9.6,111,121,222,0.18,0.29,0.47,0.18,0.47,0.22,0.34,0.56,0.22,0.56,Matches,b34c63a5
Dejan Lovren,hr CRO,DF,33-312,16,16,1416,15.7,1,0,1,1,0,0,2,0,0.8,0.8,0.5,1.3,12,63,1,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,Matches,1a2935f6
Karl Toko Ekambi,cm CMR,FWMF,30-241,19,15,1353,15.0,4,2,6,4,0,0,1,0,4.4,4.4,3.0,7.4,58,36,188,0.27,0.13,0.40,0.27,0.40,0.30,0.20,0.49,0.30,0.49,Matches,5ceba7fc
Tetê,br BRA,FWMF,23-087,17,14,1107,12.3,6,2,8,6,0,0,3,0,4.2,4.2,1.3,5.5,49,52,130,0.49,0.16,0.65,0.49,0.65,0.35,0.10,0.45,0.35,0.45,Matches,7120a04d
Bradley Barcola,fr FRA,FWMF,20-253,23,12,1177,13.1,5,6,11,5,0,0,3,0,2.7,2.7,3.2,5.9,41,31,135,0.38,0.46,0.84,0.38,0.84,0.21,0.25,0.45,0.21,0.45,Matches,a0d55a09
Sael Kumbedi,fr FRA,DF,18-048,16,11,1032,11.5,0,2,2,0,0,0,8,0,0.2,0.2,0.8,1.1,8,29,69,0.00,0.17,0.17,0.00,0.17,0.02,0.07,0.09,0.02,0.09,Matches,c385bf49
Moussa Dembélé,fr FRA,FWMF,26-305,22,8,863,9.6,3,0,3,3,0,0,1,0,3.8,3.8,0.3,4.1,10,22,66,0.31,0.00,0.31,0.31,0.31,0.40,0.03,0.43,0.40,0.43,Matches,e7986081
Rémy Riou,fr FRA,GK,35-280,7,6,601,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f41ee30
Houssem Aouar,fr FRA,MF,24-317,14,6,487,5.4,1,1,2,1,0,0,2,0,1.1,1.1,0.3,1.4,12,34,32,0.18,0.18,0.37,0.18,0.37,0.20,0.05,0.25,0.20,0.25,Matches,a5db0bec
Amin Sarr,se SWE,FW,22-063,10,5,451,5.0,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.4,9,7,34,0.20,0.00,0.20,0.20,0.20,0.23,0.04,0.27,0.23,0.27,Matches,d5326924
Jérôme Boateng,de GER,DF,34-252,6,4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,2db2fd7b
Henrique,br BRA,DFFW,29-018,7,3,356,4.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,3,11,4,0.00,0.25,0.25,0.00,0.25,0.01,0.03,0.04,0.01,0.04,Matches,f28474a4
Damien Da Silva,fr FRA,DF,34-361,7,3,338,3.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,18,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,1ec7e1c5
Romain Faivre,fr FRA,MF,24-303,10,3,300,3.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,14,24,16,0.00,0.30,0.30,0.00,0.30,0.05,0.09,0.14,0.05,0.14,Matches,745ca0a3
Lucas Paquetá,br BRA,MF,25-259,2,2,159,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,8,10,0.00,0.00,0.00,0.00,0.00,0.21,0.12,0.33,0.21,0.33,Matches,9b6f7fd5
Jeff Reine-Adélaïde,fr FRA,MF,25-116,14,1,336,3.7,0,0,0,0,0,0,1,0,0.8,0.8,0.9,1.6,20,32,25,0.00,0.00,0.00,0.00,0.00,0.21,0.23,0.44,0.21,0.44,Matches,d504b3e1
Jefferson,br BRA,FW,23-134,5,1,190,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,15,7,21,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.27,0.14,0.27,Matches,45cce300
Mohamed El Arouch,fr FRA,MF,19-037,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,508a9011
Kayne Bonnevie,fr FRA,GK,21-295,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0df854bb
Djibrail Dib,fr FRA,MF,20-314,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,38309b03
Tino Kadewere,zw ZIM,FW,27-128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,7d08063d
Achraf Laaziri,ma MAR,DF,19-175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aa96518c
Sekou Lega,fr FRA,FW,20-112,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,588a48f2
Mamadou Sarr,fr FRA,DF,17-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,61f80c89
Dante,br BRA,DF,39-207,33,33,2939,32.7,1,2,3,1,0,0,4,0,1.4,1.4,1.3,2.6,9,131,3,0.03,0.06,0.09,0.03,0.09,0.04,0.04,0.08,0.04,0.08,Matches,fd2bc67d
Kasper Schmeichel,dk DEN,GK,36-189,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,53af52f3
Jean-Clair Todibo,fr FRA,DF,23-134,31,30,2600,28.9,0,0,0,0,0,0,4,2,0.6,0.6,0.2,0.7,20,136,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,88f130ed
Khéphren Thuram-Ulie,fr FRA,MF,22-048,34,29,2505,27.8,2,4,6,2,0,0,3,0,3.2,3.2,5.1,8.3,92,128,77,0.07,0.14,0.22,0.07,0.22,0.12,0.18,0.30,0.12,0.30,Matches,7d9397f8
Melvin Bard,fr FRA,DF,22-188,29,25,2231,24.8,0,0,0,0,0,0,6,0,0.4,0.4,0.8,1.2,54,83,108,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,1ddbc7ca
Gaëtan Laborde,fr FRA,FW,29-010,29,24,2146,23.8,10,2,12,10,0,1,0,0,8.3,7.5,5.0,12.5,45,44,162,0.42,0.08,0.50,0.42,0.50,0.35,0.21,0.56,0.31,0.52,Matches,7cdda3bf
Jordan Lotomba,ch SUI,DF,24-226,29,23,2118,23.5,0,2,2,0,0,0,4,0,0.6,0.6,0.9,1.5,71,94,84,0.00,0.08,0.08,0.00,0.08,0.02,0.04,0.06,0.02,0.06,Matches,fc4cf6a7
Aaron Ramsey,wls WAL,MF,32-138,27,18,1584,17.6,1,1,2,1,0,0,3,0,2.5,2.5,1.8,4.3,29,126,84,0.06,0.06,0.11,0.06,0.11,0.14,0.10,0.24,0.14,0.24,Matches,ef619b0b
Hicham Boudaoui,dz ALG,MF,23-232,23,18,1567,17.4,1,1,2,1,0,0,4,0,0.8,0.8,1.3,2.1,33,83,51,0.06,0.06,0.11,0.06,0.11,0.05,0.08,0.12,0.05,0.12,Matches,f9d5908e
Nicolas Pépé,ci CIV,FWMF,27-349,18,17,1495,16.6,6,0,6,3,3,3,2,0,8.1,5.8,2.6,8.3,48,53,151,0.36,0.00,0.36,0.18,0.18,0.48,0.15,0.63,0.34,0.49,Matches,57e3f0c7
Pablo Rosario,nl NED,MFDF,26-126,27,14,1512,16.8,0,1,1,0,0,0,5,0,0.8,0.8,1.8,2.6,16,98,36,0.00,0.06,0.06,0.00,0.06,0.05,0.11,0.15,0.05,0.15,Matches,1a6b7ea4
Sofiane Diop,fr FRA,MFFW,22-338,18,12,1007,11.2,1,4,5,1,0,0,1,0,1.4,1.4,1.4,2.9,42,44,71,0.09,0.36,0.45,0.09,0.45,0.13,0.13,0.26,0.13,0.26,Matches,19053e31
Terem Moffi,ng NGA,FW,23-353,12,11,968,10.8,5,2,7,5,0,0,1,0,6.1,6.1,1.1,7.2,15,16,52,0.46,0.19,0.65,0.46,0.65,0.56,0.11,0.67,0.56,0.67,Matches,065dc209
Mario Lemina,ga GAB,MFDF,29-254,14,11,838,9.3,0,0,0,0,0,0,1,1,0.3,0.3,0.1,0.4,14,46,10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,2b471f99
Andy Delort,dz ALG,FW,31-216,14,9,781,8.7,6,1,7,3,3,3,0,0,5.4,3.0,1.4,4.4,7,19,48,0.69,0.12,0.81,0.35,0.46,0.62,0.16,0.78,0.35,0.51,Matches,d33c706e
Ross Barkley,eng ENG,MFFW,29-159,24,8,840,9.3,3,2,5,3,0,0,1,0,4.0,4.0,1.5,5.5,24,37,43,0.32,0.21,0.54,0.32,0.54,0.44,0.16,0.61,0.44,0.61,Matches,3a24769f
Youcef Atal,dz ALG,DFMF,26-361,15,7,677,7.5,1,0,1,1,0,0,1,0,0.9,0.9,1.2,2.0,33,32,51,0.13,0.00,0.13,0.13,0.13,0.12,0.16,0.27,0.12,0.27,Matches,6a827d8e
Badredine Bouanani,dz ALG,FWMF,18-156,15,7,656,7.3,0,4,4,0,0,0,0,0,1.5,1.5,3.1,4.7,37,27,76,0.00,0.55,0.55,0.00,0.55,0.21,0.43,0.64,0.21,0.64,Matches,0400dd2f
Mattia Viti,it ITA,DF,21-109,9,7,634,7.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,19,1,0.14,0.00,0.14,0.14,0.14,0.01,0.00,0.01,0.01,0.01,Matches,75438a9a
Youssouf Ndayishimiye,bi BDI,MFDF,24-198,10,6,568,6.3,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.5,7,30,5,0.16,0.00,0.16,0.16,0.16,0.08,0.01,0.08,0.08,0.08,Matches,65c55288
Antoine Mendy,fr FRA,DF,18-351,10,6,473,5.3,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,2,20,37,0.00,0.19,0.19,0.00,0.19,0.07,0.07,0.14,0.07,0.14,Matches,3322e296
Alexis Beka Beka,fr FRA,MFDF,22-045,11,5,393,4.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,21,18,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,4a5e83ad
Bilal Brahimi,dz ALG,FWMF,23-060,23,4,659,7.3,3,2,5,3,0,0,0,0,0.9,0.9,1.7,2.6,35,13,79,0.41,0.27,0.68,0.41,0.68,0.12,0.23,0.36,0.12,0.36,Matches,02bcaf8e
Ayoub Amraoui,ma MAR,DFFW,18-364,5,3,279,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,13,18,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,ae11ba3d
Amine Gouiri,fr FRA,FWMF,23-086,3,3,226,2.5,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.8,8,1,18,0.00,0.00,0.00,0.00,0.00,0.23,0.10,0.33,0.23,0.33,Matches,aad56ca3
Calvin Stengs,nl NED,FW,24-146,4,3,212,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,10,12,16,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches,8f7e6783
Marcin Bu?ka,pl POL,GK,23-221,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,db87a2c4
Joe Bryan,eng ENG,MFDF,29-238,6,2,177,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,2,8,16,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,af69e7f0
Rare? Ilie,ro ROU,MFFW,20-024,4,2,148,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,7,1,6,0.00,0.00,0.00,0.00,0.00,0.18,0.14,0.32,0.18,0.32,Matches,c9f49454
Reda Belahyane,fr FRA,MF,18-346,2,1,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,705a1642
Flavius Daniliuc,at AUT,DF,22-016,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,7ef972c3
Alexis Claude-Maurice,fr FRA,FW,24-341,2,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,1,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.18,0.12,0.18,Matches,741418c3
Mads Bech Sørensen,dk DEN,DF,24-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,30db8574
Teddy Boulhendi,fr FRA,GK,22-034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,02e63f80
Soudeysse Kari,fr FRA,MF,21-095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,d434e889
Tom Louchet,fr FRA,MF,20-009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,f999e9be
Yannis Nahounou,fr FRA,DF,18-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2405094a
Théo Trinker,fr FRA,MF,21-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,7a3f8712
Montassar Talbi,tn TUN,DF,24-352,34,34,3060,34.0,1,2,3,1,0,0,0,0,0.7,0.7,0.5,1.1,12,53,0,0.03,0.06,0.09,0.03,0.09,0.02,0.01,0.03,0.02,0.03,Matches,a4a44eb0
Vincent Le Goff,fr FRA,DF,33-210,33,33,2970,33.0,0,0,0,0,0,0,1,0,1.1,1.1,0.7,1.8,60,160,79,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches,2321ea6e
